Name,US N&W ID
Columbia University in the City of New York,columbia-university-2707
Duke University,duke-university-2920
University of Massachusetts-Amherst,umass-amherst-2221
Brown University,brown-university-3401
University of North Carolina-Chapel Hill,unc-2974
Northwestern University,northwestern-university-1739
University of Virginia-Main Campus,uva-6968
Harvey Mudd College,harvey-mudd-college-1171
University of Southern California,university-of-southern-california-1328
Dartmouth College,dartmouth-college-2573
Tufts University,tufts-university-2219
Washington University in St Louis,washington-university-in-st-louis-2520
Rensselaer Polytechnic Institute,rpi-2803
Pomona College,pomona-college-1173
Vanderbilt University,vanderbilt-3535
Williams College,williams-college-2229
Worcester Polytechnic Institute,wpi-2233